mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,mfccs_13,mfccs_14,mfccs_15,mfccs_16,mfccs_17,mfccs_18,mfccs_19,mfccs_20,mfccs_21,mfccs_22,mfccs_23,mfccs_24,mfccs_25,mfccs_26,mfccs_27,mfccs_28,mfccs_29,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,source,label
-234.71547,141.54611,-47.27104,22.235762,40.170826,38.791466,-3.3250337,5.030132,9.5234375,2.9293756,16.549328,20.642635,-5.495538,-4.6034265,-5.6554112,-3.6776125,-3.719512,1.5401435,7.915646,-12.330963,-13.077166,-9.606716,7.434662,-8.756795,-8.356018,-0.71522903,-6.3582554,-5.0126905,-10.425449,-2.2761436,1984.7774309595047,2469.726314106052,3671.4733675036127,0.4516888,HMRS_Scam.mp3,0
-228.18294,156.30536,-50.44574,19.524883,45.193375,39.201904,-13.357372,4.511402,14.271795,3.0991783,11.254716,22.51928,-13.000703,-8.2552805,-6.678785,-3.331839,-2.869848,1.6210213,10.151084,-15.393361,-10.840776,-10.507066,8.3433485,-9.86881,-7.720737,0.071039364,-8.587428,-6.6899076,-13.488287,-0.8540921,1839.6808239023414,2198.6034718765095,3083.9778833995665,0.40159738,HMRS_Scam.mp3,0
-247.08165,148.03883,-42.465057,15.602045,34.609463,41.66758,-9.322384,5.020893,10.922402,8.545577,12.7762,19.916475,-6.079421,-1.913639,-4.2858944,-7.1066613,-7.0476894,0.9605436,9.999406,-15.466255,-12.167136,-11.2393055,9.205877,-6.953885,-4.64886,1.4307061,-8.529312,-6.2599587,-10.900069,0.30374056,1889.1709385415784,2453.3031391329114,3092.6907401553467,0.40435728,HMRS_Scam.mp3,0
-219.39867,160.58127,-55.715263,17.992113,43.53238,41.891518,-15.11151,2.4686873,11.56142,5.8616533,8.743827,15.4156275,-11.587445,-4.939835,-6.221112,-7.3548703,-2.957469,3.0903285,8.296343,-15.862738,-11.140615,-9.968848,8.287359,-8.331617,-4.412377,-0.45374796,-9.419218,-5.922588,-11.358407,0.71446896,1817.6069271165247,2075.973362215894,2936.6061348446533,0.45883375,HMRS_Scam.mp3,0
-213.60843,164.85115,-48.33934,16.894783,30.423204,32.19873,-16.30065,2.3296127,12.552878,7.8653193,7.10061,9.5921755,-9.069861,0.92086613,-5.9060636,-8.44278,-2.1923878,1.223656,6.4775786,-13.886975,-12.319483,-11.942157,7.040688,-7.4486485,-2.8917215,0.6794482,-7.1438575,-4.395558,-10.272505,-0.57257086,1795.3832251149818,2153.9822661514686,2836.65722091763,0.43344292,HMRS_Scam.mp3,0
-277.8736,132.5112,-34.265087,26.352749,47.726738,48.840252,-4.408099,6.0407495,13.882177,16.04,15.181217,15.463846,-14.079632,-7.3317213,-3.549991,-3.4698274,-6.872004,-0.9962704,8.130985,-17.121588,-10.4886675,-8.807332,10.049361,-7.335898,-5.727846,0.5720277,-7.4280343,-5.2450104,-12.625756,1.1850736,1846.418309022925,2598.046837073246,3296.4471188583816,0.37276697,HMRS_Scam.mp3,0
-192.80623,175.22835,-42.229507,11.751623,17.071806,26.34096,-9.626915,7.893908,7.6375117,-0.32690772,3.242069,10.996264,-8.192498,-1.8924013,-6.44498,-9.737985,-2.368443,4.8452044,8.0442095,-15.703116,-11.5558,-11.565687,4.325391,-8.031367,-3.5908372,1.2000349,-8.077151,-7.7347174,-11.928587,-0.09074161,1718.4733316748373,2133.9584785354537,2788.114161849711,0.4262792,HMRS_Scam.mp3,0
-205.6171,159.88412,-46.82818,16.480658,31.46945,36.801968,-9.253571,-3.1198192,4.663944,5.4503245,8.628138,11.800967,-6.063159,0.8791947,-4.298041,-11.0890665,-7.2652745,1.4017231,8.686803,-10.22804,-9.442661,-11.948628,2.1447635,-8.713497,-3.1513002,0.6786335,-9.287433,-5.8487754,-7.2641716,0.53011805,1854.609689900989,2145.330022643055,2927.021992413295,0.47421658,HMRS_Scam.mp3,0
-217.71066,169.23085,-38.495094,6.795476,30.854696,37.04514,-8.437515,-2.8392713,4.422974,2.989963,7.181105,11.474421,-4.539918,1.7119136,-5.59974,-11.766381,-7.3777943,2.9051917,8.4088745,-12.883812,-11.600347,-12.95468,1.5309687,-7.069616,-2.0508296,0.008460183,-9.212065,-5.446584,-10.00117,-2.977791,1600.5659087838308,2126.531559856315,2599.9164559248557,0.4471931,HMRS_Scam.mp3,0
-233.65205,162.91951,-36.627743,23.267012,33.663025,44.389587,-11.499394,-2.4691482,4.084014,9.080042,7.2564473,10.316235,-8.49688,-1.282298,-5.39243,-8.870753,-5.0428934,0.80498093,8.299954,-14.605334,-8.576734,-10.981507,3.7499638,-8.003336,-3.4084995,-0.23904516,-8.788098,-6.6804314,-10.490559,-0.06327162,1683.5527364846923,2264.7240201627096,2889.6811777456646,0.40128067,HMRS_Scam.mp3,0
